date,domain,total_comments
2014-04-17,aliexpress,273
2014-04-18,aliexpress,277
2014-04-19,aliexpress,80
2014-04-20,aliexpress,120
2014-04-21,aliexpress,404
2014-04-22,aliexpress,409
2014-04-23,aliexpress,437
2014-04-24,aliexpress,353
2014-04-25,aliexpress,317
2014-04-26,aliexpress,199
2014-04-27,aliexpress,278
2014-04-28,aliexpress,240
2014-04-29,aliexpress,279
2014-04-30,aliexpress,357
2014-05-01,aliexpress,117
2014-05-02,aliexpress,117
2014-05-04,aliexpress,278
2014-05-05,aliexpress,235
2014-05-06,aliexpress,319
2014-05-07,aliexpress,277
2014-05-08,aliexpress,239
2014-05-09,aliexpress,222
2014-05-10,aliexpress,79
2014-05-12,aliexpress,279
2014-05-13,aliexpress,278
2014-05-14,aliexpress,235
2014-05-15,aliexpress,280
2014-05-16,aliexpress,390
2014-05-17,aliexpress,198
2014-05-18,aliexpress,118
2014-05-19,aliexpress,237
2014-05-20,aliexpress,199
2014-05-21,aliexpress,278
2014-05-22,aliexpress,279
2014-05-23,aliexpress,157
2014-05-24,aliexpress,39
2014-05-25,aliexpress,39
2014-05-26,aliexpress,358
2014-05-27,aliexpress,306
2014-05-28,aliexpress,437
2014-05-29,aliexpress,399
2014-05-30,aliexpress,481
2014-05-31,aliexpress,353
2014-06-01,aliexpress,317
2014-06-02,aliexpress,353
2014-06-03,aliexpress,398
2014-06-04,aliexpress,436
2014-06-05,aliexpress,359
2014-06-06,aliexpress,356
2014-06-07,aliexpress,233
2014-06-09,aliexpress,541
2014-06-10,aliexpress,367
2014-06-11,aliexpress,443
2014-06-12,aliexpress,239
2014-06-13,aliexpress,196
2014-06-14,aliexpress,278
2014-06-15,aliexpress,239
2014-06-16,aliexpress,278
2014-06-17,aliexpress,279
2014-06-18,aliexpress,434
2014-06-19,aliexpress,439
2014-06-20,aliexpress,435
2014-06-21,aliexpress,238
2014-06-22,aliexpress,198
2014-06-23,aliexpress,356
2014-06-24,aliexpress,400
2014-06-25,aliexpress,276
2014-06-26,aliexpress,554
2014-06-27,aliexpress,357
2014-06-28,aliexpress,397
2014-06-29,aliexpress,354
2014-06-30,aliexpress,476
2014-07-01,aliexpress,689
2014-07-02,aliexpress,558
2014-07-03,aliexpress,483
2014-07-04,aliexpress,624
2014-07-05,aliexpress,439
2014-07-06,aliexpress,398
2014-07-07,aliexpress,634
2014-07-07,ozon,40
2014-07-08,aliexpress,716
2014-07-09,aliexpress,583
2014-07-10,aliexpress,797
2014-07-11,aliexpress,595
2014-07-12,aliexpress,433
2014-07-13,aliexpress,600
2014-07-14,aliexpress,709
2014-07-15,aliexpress,682
2014-07-16,aliexpress,797
2014-07-17,aliexpress,856
2014-07-18,aliexpress,847
2014-07-19,aliexpress,714
2014-07-20,aliexpress,668
2014-07-21,aliexpress,966
2014-07-22,aliexpress,960
2014-07-23,aliexpress,932
2014-07-24,aliexpress,1055
2014-07-25,aliexpress,1130
2014-07-26,aliexpress,756
2014-07-27,aliexpress,678
2014-07-28,aliexpress,859
2014-07-29,aliexpress,513
2014-07-30,aliexpress,1199
2014-07-31,aliexpress,1068
2014-08-01,aliexpress,1033
2014-08-02,aliexpress,972
2014-08-03,aliexpress,866
2014-08-04,aliexpress,1050
2014-08-05,aliexpress,907
2014-08-06,aliexpress,1058
2014-08-07,aliexpress,1005
2014-08-08,aliexpress,791
2014-08-09,aliexpress,944
2014-08-10,aliexpress,943
2014-08-11,aliexpress,905
2014-08-12,aliexpress,1010
2014-08-13,aliexpress,1093
2014-08-14,aliexpress,949
2014-08-15,aliexpress,950
2014-08-16,aliexpress,795
2014-08-17,aliexpress,834
2014-08-18,aliexpress,868
2014-08-19,aliexpress,1545
2014-08-20,aliexpress,929
2014-08-21,aliexpress,707
2014-08-22,aliexpress,670
